t_h,ws_HH_m/s,wd_HH_deg
48396.0,8.051408965155694,352.8030548
48396.5,7.895456988574108,353.6240794
48397.0,7.95629209058687,352.5634664
48397.5,8.054582892795814,352.8616231
48398.0,8.109683465415971,353.7046967
48398.5,7.789043333561823,355.4192047
48399.0,7.558983980042762,357.5668945
48399.5,7.092695808850445,359.1703033
48400.0,6.045067531991509,2.0451762000000144
48400.5,5.071415188468751,358.8296509
48401.0,4.2643489378859885,356.7491302
48401.5,2.7880534955774054,356.0135142
48402.0,1.3670097609796938,352.6672262
48402.5,0.07699734118904503,357.5331853
48403.0,0.6762807726693207,352.4662857
48403.5,1.377296748511745,27.229858400000012
48404.0,1.7388609455774124,326.75676980000003
48404.5,2.1889221617689163,122.73509216
48405.0,2.6304643914861767,145.79394023
48405.5,4.683268390013802,162.53864543
48406.0,5.447262802562048,165.34242756999998
48406.5,5.335115008712591,169.3400828
48407.0,5.617285201439195,166.56565347999998
48407.5,5.5478421905807185,165.57632446
48408.0,5.575552215049838,175.98954264
48408.5,6.340660803353176,179.35158793
48409.0,4.727584630370855,189.0310847
48409.5,4.481807341822527,173.82401276000002
48410.0,4.254855880515091,177.0748291
48410.5,3.6434663746105973,210.9314575
48411.0,4.954142857585618,355.2155355
48411.5,11.654001792308497,1.9354450999999813
48412.0,11.193354646014717,32.49556990000002
48412.5,11.569712828493781,8.697057099999995
48413.0,8.094945167684553,295.8950729
48413.5,3.984624012735997,139.50598145
48414.0,4.398787862668264,259.2523727
48414.5,6.452786414442944,260.02661390000003
48415.0,5.356309170026968,252.9067637
48415.5,6.295821765096741,267.16259
48416.0,8.245158068255972,268.0050176
48416.5,9.173574770395872,274.844429
48417.0,10.32868079224644,286.6305949
48417.5,11.502680519083448,291.6679357
48418.0,11.358641232810841,301.8220367
48418.5,12.190478956937078,306.8925858
48419.0,12.589180198441762,316.30783840000004
48419.5,12.403949614332706,330.96381629999996
48420.0,12.371495666853537,335.3308411
48420.5,12.385749105792803,340.98183700000004
48421.0,11.724785222951379,346.5017573
48421.5,10.88419070748622,347.3252614
48422.0,10.76920413976217,349.7857564
48422.5,11.168125471089315,353.0341848
48423.0,11.183971439263585,355.012029
48423.5,11.008237397936805,354.6243439
48424.0,11.066494731510476,357.9939626
48424.5,11.17884161197902,3.3895365000000197
48425.0,10.649952434485966,10.860641499999986
48425.5,8.733793685318787,17.978225699999996
48426.0,6.059510415959126,32.56929020000001
48426.5,4.008582093439154,40.17324830000001
48427.0,2.688444493821287,75.33519489999998
48427.5,2.7302489636902068,68.51684060000002
48428.0,3.2715400435967394,59.043599400000005
48428.5,2.4804352137142454,21.385859200000027
48429.0,3.1566055578206575,62.486511199999995
48429.5,4.0472525709474,48.9565786
48430.0,4.9961866610084185,48.39885459999999
48430.5,4.713453230142423,71.90592959999998
48431.0,5.206965505805522,75.66037499999999
48431.5,5.149602960375261,80.34714250000002
48432.0,5.609557618350795,267.4715627
48432.5,5.399025123297881,80.07401529999999
48433.0,4.051157472396106,161.18407694
48433.5,4.007867424333718,15.86087040000001
48434.0,4.316196104835061,162.44166056
48434.5,4.034619171731261,270.8742269
48435.0,4.803443569532844,266.1121928
48435.5,5.142288833472042,271.27956140000003
48436.0,7.224902975611247,111.07097371
48436.5,9.517896929298425,121.36708069
48437.0,9.221991314186614,131.11859131
48437.5,8.721643501800475,141.23641967999998
48438.0,7.368981372657381,148.96078491
48438.5,6.964994328257032,167.02987671
48439.0,6.011370239450983,164.01445516
48439.5,6.879118478536092,159.93872579
48440.0,6.45979180135753,166.91441344999998
48440.5,5.892809456326285,176.06456502
48441.0,6.793587108571061,180.93815358
48441.5,7.857682908771064,184.95107524
